pp_id,pp,party,party_nm,v,s,lat,lon,p
666,Adaminaby,ASP,"Shooters, Fishers and Farmers",8,3.74,-35.9950803,148.7738503,3.7383177570093453
666,Adaminaby,FUT,Science Party,2,0.93,-35.9950803,148.7738503,0.9345794392523363
666,Adaminaby,HMP,Help End Marijuana Prohibition (HEMP) Party,6,2.8,-35.9950803,148.7738503,2.803738317757009
666,Adaminaby,IND,Independent,0,-1.81,-35.9950803,148.7738503,0
666,Adaminaby,NP,The Nationals,42,7.47,-35.9950803,148.7738503,19.626168224299064
666,Adaminaby,LDP,Liberal Democrats,0,0,-35.9950803,148.7738503,0
666,Adaminaby,SPP,SUSTAINABLE AUSTRALIA - STOP OVERDEVELOPMENT. STOP CORRUPTION.,1,0.47,-35.9950803,148.7738503,0.46728971962616817
666,Adaminaby,ALP,Labor,49,-3.87,-35.9950803,148.7738503,22.897196261682243
666,Adaminaby,IND,Independent,2,0.93,-35.9950803,148.7738503,0.9345794392523363
666,Adaminaby,IND,Independent,1,0.47,-35.9950803,148.7738503,0.46728971962616817
666,Adaminaby,GRN,The Greens,2,-1.41,-35.9950803,148.7738503,0.9345794392523363
666,Adaminaby,CDP,Christian Democratic Party (Fred Nile Group),3,-0.85,-35.9950803,148.7738503,1.4018691588785046
666,Adaminaby,CYA,Australian Federation Party,0,0,-35.9950803,148.7738503,0
666,Adaminaby,LP,Liberal,98,-3.88,-35.9950803,148.7738503,45.794392523364486
1242,Adelong,ASP,"Shooters, Fishers and Farmers",51,13.04,-35.308119,148.065613,13.043478260869565
1242,Adelong,FUT,Science Party,0,0,-35.308119,148.065613,0
1242,Adelong,HMP,Help End Marijuana Prohibition (HEMP) Party,4,1.02,-35.308119,148.065613,1.0230179028132993
1242,Adelong,IND,Independent,1,-2.93,-35.308119,148.065613,0.2557544757033248
1242,Adelong,NP,The Nationals,29,-6.1,-35.308119,148.065613,7.41687979539642
1242,Adelong,LDP,Liberal Democrats,10,2.56,-35.308119,148.065613,2.557544757033248
1242,Adelong,SPP,SUSTAINABLE AUSTRALIA - STOP OVERDEVELOPMENT. STOP CORRUPTION.,6,1.53,-35.308119,148.065613,1.5345268542199488
1242,Adelong,ALP,Labor,104,-4.17,-35.308119,148.065613,26.598465473145783
1242,Adelong,IND,Independent,3,0.77,-35.308119,148.065613,0.7672634271099744
1242,Adelong,IND,Independent,6,1.53,-35.308119,148.065613,1.5345268542199488
1242,Adelong,GRN,The Greens,5,-1.38,-35.308119,148.065613,1.278772378516624
1242,Adelong,CDP,Christian Democratic Party (Fred Nile Group),2,-1.48,-35.308119,148.065613,0.5115089514066496
1242,Adelong,CYA,Australian Federation Party,3,0.77,-35.308119,148.065613,0.7672634271099744
1242,Adelong,LP,Liberal,167,4.4,-35.308119,148.065613,42.710997442455245
668,Araluen,ASP,"Shooters, Fishers and Farmers",9,8.18,-35.6518827,149.8133351,8.181818181818182
668,Araluen,FUT,Science Party,0,0,-35.6518827,149.8133351,0
668,Araluen,HMP,Help End Marijuana Prohibition (HEMP) Party,0,0,-35.6518827,149.8133351,0
668,Araluen,IND,Independent,0,-1.03,-35.6518827,149.8133351,0
668,Araluen,NP,The Nationals,12,-4.09,-35.6518827,149.8133351,10.909090909090908
668,Araluen,LDP,Liberal Democrats,0,0,-35.6518827,149.8133351,0
668,Araluen,SPP,SUSTAINABLE AUSTRALIA - STOP OVERDEVELOPMENT. STOP CORRUPTION.,0,0,-35.6518827,149.8133351,0
668,Araluen,ALP,Labor,33,-6.37,-35.6518827,149.8133351,30
668,Araluen,IND,Independent,0,0,-35.6518827,149.8133351,0
668,Araluen,IND,Independent,3,2.73,-35.6518827,149.8133351,2.727272727272727
668,Araluen,GRN,The Greens,9,-3.95,-35.6518827,149.8133351,8.181818181818182
668,Araluen,CDP,Christian Democratic Party (Fred Nile Group),1,-2.09,-35.6518827,149.8133351,0.9090909090909091
668,Araluen,CYA,Australian Federation Party,0,0,-35.6518827,149.8133351,0
668,Araluen,LP,Liberal,43,9.7,-35.6518827,149.8133351,39.09090909090909
1247,Batlow,ASP,"Shooters, Fishers and Farmers",37,8.01,-35.5215,148.147,8.008658008658008
1247,Batlow,FUT,Science Party,3,0.65,-35.5215,148.147,0.6493506493506493
1247,Batlow,HMP,Help End Marijuana Prohibition (HEMP) Party,14,3.03,-35.5215,148.147,3.0303030303030303
1247,Batlow,IND,Independent,7,-1.42,-35.5215,148.147,1.5151515151515151
1247,Batlow,NP,The Nationals,37,0.54,-35.5215,148.147,8.008658008658008
1247,Batlow,LDP,Liberal Democrats,3,0.65,-35.5215,148.147,0.6493506493506493
1247,Batlow,SPP,SUSTAINABLE AUSTRALIA - STOP OVERDEVELOPMENT. STOP CORRUPTION.,2,0.43,-35.5215,148.147,0.4329004329004329
1247,Batlow,ALP,Labor,163,-6.19,-35.5215,148.147,35.28138528138528
1247,Batlow,IND,Independent,0,0,-35.5215,148.147,0
1247,Batlow,IND,Independent,7,1.52,-35.5215,148.147,1.5151515151515151
1247,Batlow,GRN,The Greens,13,-1.56,-35.5215,148.147,2.813852813852814
1247,Batlow,CDP,Christian Democratic Party (Fred Nile Group),1,-2.49,-35.5215,148.147,0.21645021645021645
1247,Batlow,CYA,Australian Federation Party,1,0.22,-35.5215,148.147,0.21645021645021645
1247,Batlow,LP,Liberal,174,9.26,-35.5215,148.147,37.66233766233766
672,Bega,ASP,"Shooters, Fishers and Farmers",56,8.59,-36.6783,149.839,8.588957055214724
672,Bega,FUT,Science Party,6,0.92,-36.6783,149.839,0.9202453987730062
