pp,party,party_nm,nat,s,asp
Binalong,NP,The Nationals,5.857740585774058,-15.12,19.246861924686193
Bowning,NP,The Nationals,5.487804878048781,-12.5,3.6585365853658534
Nimmitabel,NP,The Nationals,7.555555555555555,-10.67,5.777777777777778
Michelago,NP,The Nationals,6.539509536784741,-9.09,5.722070844686648
Berridale,NP,The Nationals,11.072664359861593,-8.46,3.9792387543252596
Rosewood,NP,The Nationals,2.312138728323699,-8.39,15.028901734104046
Yass PPVC,NP,The Nationals,4.697816150330117,-7.46,7.592686642965972
Yass North,NP,The Nationals,4.485488126649076,-7.19,12.66490765171504
Cooma PPVC,NP,The Nationals,7.659873506676036,-6.7,6.0435699226985244
Bredbo,NP,The Nationals,10.4,-6.62,7.199999999999999
Delegate,NP,The Nationals,7.2727272727272725,-6.12,9.090909090909092
Adelong,NP,The Nationals,6.373626373626373,-6.1,11.20879120879121
Bombala,NP,The Nationals,4.719387755102041,-6.06,10.459183673469388
Cooma North,NP,The Nationals,7.317073170731707,-5.48,6.456241032998565
Brogo,NP,The Nationals,0.47393364928909953,-5.15,4.739336492890995
Thredbo,NP,The Nationals,2.2556390977443606,-4.74,2.2556390977443606
Cooma,NP,The Nationals,8.81057268722467,-4.54,7.048458149779736
Araluen,NP,The Nationals,10.16949152542373,-4.19,7.627118644067797
Jindabyne,NP,The Nationals,4.52054794520548,-3.4,4.657534246575342
Tumut,NP,The Nationals,5.106382978723404,-3.19,7.092198581560284
Braidwood Central,NP,The Nationals,8.380952380952381,-3.18,4
Bodalla,NP,The Nationals,1.3245033112582782,-3.02,6.401766004415011
Murrumbateman,NP,The Nationals,5.552165954850519,-2.99,5.003050640634534
Tumbarumba,NP,The Nationals,4.272013949433305,-2.91,17.000871839581517
Yass,NP,The Nationals,5.756929637526652,-2.89,4.051172707889126
Tumut PPVC,NP,The Nationals,4.396135265700483,-2.89,8.454106280193237
Bega PPVC,NP,The Nationals,0.5500550055005501,-2.85,4.488448844884489
Wolumla,NP,The Nationals,0.4618937644341801,-2.83,6.0046189376443415
Perisher Valley,NP,The Nationals,2.0408163265306123,-2.62,8.16326530612245
Bega,NP,The Nationals,1.1204481792717087,-2.38,7.8431372549019605
Bega Heights,NP,The Nationals,1.347305389221557,-2.19,4.191616766467066
Merimbula Central,NP,The Nationals,0.49504950495049505,-2.08,3.217821782178218
Wyndham,NP,The Nationals,0.7434944237918215,-1.92,4.089219330855019
Dalmeny,NP,The Nationals,0.6263048016701461,-1.86,4.3841336116910234
Eden,NP,The Nationals,0.6329113924050633,-1.83,5.15370705244123
Candelo,NP,The Nationals,1.5296367112810707,-1.79,3.824091778202677
Tura Beach,NP,The Nationals,1.1612903225806452,-1.77,2.967741935483871
Cobargo,NP,The Nationals,0.6069802731411229,-1.74,3.6418816388467374
